,ltage,tage,hashed_perceptron
server_001,98.7305,98.7907,99.2207
server_002,99.1808,99.1867,99.0436
server_003,94.8093,95.0179,94.2515
server_004,96.9166,97.0065,96.6571
server_009,99.0229,99.2278,99.1981
server_010,99.0442,99.1614,99.1651
server_011,98.8039,98.9335,98.9695
server_012,98.9107,99.0549,98.9982
server_013,98.8287,98.9536,99.062
server_014,99.149,99.1538,99.083
server_015,99.1487,99.1589,99.0862
server_016,99.7548,99.7564,99.6847
server_017,99.6835,99.6878,99.6639
server_018,99.6759,99.6795,99.6501
server_019,99.8299,99.831,99.808
server_020,99.6446,99.651,99.611
server_021,99.8303,99.8286,99.7957
server_022,99.8075,99.8085,99.7826
server_023,99.7468,99.7454,99.6709
server_024,99.765,99.7673,99.6953
server_025,99.7875,99.7853,99.738
server_026,99.8102,99.8058,99.7621
server_027,99.8084,99.8105,99.7622
server_028,99.7167,99.7243,99.6548
server_029,99.6994,99.6997,99.6257
server_030,99.8163,99.8216,99.7952
server_031,99.7161,99.716,99.6614
server_032,99.8401,99.8405,99.8189
server_033,99.9337,99.9366,99.8877
server_034,99.8911,99.8926,99.8476
server_035,99.9432,99.9445,99.892
server_036,99.9475,99.9466,99.8788
server_037,99.914,99.9138,99.9059
server_038,99.9259,99.9255,99.9207
server_039,99.9748,99.9748,99.8944
