              ltage    tage  hashed_perceptron
server_001   2.1368  2.0355             1.3117
server_002   1.3892  1.3792             1.6218
server_003  10.0475  9.6436            11.1272
server_004   5.8960  5.7241             6.3922
server_009   1.8081  1.4289             1.4840
server_010   1.7663  1.5497             1.5429
server_011   2.2207  1.9801             1.9133
server_012   2.0184  1.7512             1.8564
server_013   2.1760  1.9439             1.7426
server_014   1.4480  1.4398             1.5603
server_015   1.4470  1.4297             1.5533
server_016   0.4480  0.4452             0.5762
server_017   0.5236  0.5165             0.5561
server_018   0.5363  0.5304             0.5790
server_019   0.2789  0.2771             0.3148
server_020   0.5909  0.5804             0.6469
server_021   0.2782  0.2809             0.3349
server_022   0.3163  0.3146             0.3572
server_023   0.4631  0.4658             0.6020
server_024   0.4308  0.4266             0.5585
server_025   0.3877  0.3918             0.4781
server_026   0.3470  0.3551             0.4351
server_027   0.3499  0.3460             0.4342
server_028   0.5338  0.5194             0.6504
server_029   0.5653  0.5647             0.7037
server_030   0.3444  0.3344             0.3840
server_031   0.5316  0.5318             0.6341
server_032   0.2967  0.2958             0.3360
server_033   0.1300  0.1243             0.2201
server_034   0.2124  0.2096             0.2973
server_035   0.1107  0.1081             0.2104
server_036   0.0865  0.0880             0.1998
server_037   0.1549  0.1552             0.1695
server_038   0.1333  0.1340             0.1426
server_039   0.0428  0.0428             0.1795
              ltage     tage  hashed_perceptron
server_001  98.7305  98.7907            99.2207
server_002  99.1808  99.1867            99.0436
server_003  94.8093  95.0179            94.2515
server_004  96.9166  97.0065            96.6571
server_009  99.0229  99.2278            99.1981
server_010  99.0442  99.1614            99.1651
server_011  98.8039  98.9335            98.9695
server_012  98.9107  99.0549            98.9982
server_013  98.8287  98.9536            99.0620
server_014  99.1490  99.1538            99.0830
server_015  99.1487  99.1589            99.0862
server_016  99.7548  99.7564            99.6847
server_017  99.6835  99.6878            99.6639
server_018  99.6759  99.6795            99.6501
server_019  99.8299  99.8310            99.8080
server_020  99.6446  99.6510            99.6110
server_021  99.8303  99.8286            99.7957
server_022  99.8075  99.8085            99.7826
server_023  99.7468  99.7454            99.6709
server_024  99.7650  99.7673            99.6953
server_025  99.7875  99.7853            99.7380
server_026  99.8102  99.8058            99.7621
server_027  99.8084  99.8105            99.7622
server_028  99.7167  99.7243            99.6548
server_029  99.6994  99.6997            99.6257
server_030  99.8163  99.8216            99.7952
server_031  99.7161  99.7160            99.6614
server_032  99.8401  99.8405            99.8189
server_033  99.9337  99.9366            99.8877
server_034  99.8911  99.8926            99.8476
server_035  99.9432  99.9445            99.8920
server_036  99.9475  99.9466            99.8788
server_037  99.9140  99.9138            99.9059
server_038  99.9259  99.9255            99.9207
server_039  99.9748  99.9748            99.8944
