              ltage    tage  hashed_perceptron
server_001   2.1368  2.1023             1.3117
server_002   1.3892  1.3832             1.6218
server_003  10.0475  9.8939            11.1272
server_004   5.8960  5.8706             6.3922
server_009   1.8081  1.8387             1.4840
server_010   1.7663  1.6839             1.5429
server_011   2.2207  2.2362             1.9133
server_012   2.0184  1.9345             1.8564
server_013   2.1760  2.1383             1.7426
server_014   1.4480  1.4443             1.5603
server_015   1.4470  1.4447             1.5533
server_016   0.4480  0.4563             0.5762
server_017   0.5236  0.5207             0.5561
server_018   0.5363  0.5303             0.5790
server_019   0.2789  0.2816             0.3148
server_020   0.5909  0.5900             0.6469
server_021   0.2782  0.2808             0.3349
server_022   0.3163  0.3174             0.3572
server_023   0.4631  0.4627             0.6020
server_024   0.4308  0.4216             0.5585
server_025   0.3877  0.4042             0.4781
server_026   0.3470  0.3506             0.4351
server_027   0.3499  0.3468             0.4342
server_028   0.5338  0.5211             0.6504
server_029   0.5653  0.5631             0.7037
server_030   0.3444  0.3421             0.3840
server_031   0.5316  0.5386             0.6341
server_032   0.2967  0.2975             0.3360
server_033   0.1300  0.1312             0.2201
server_034   0.2124  0.2086             0.2973
server_035   0.1107  0.1119             0.2104
server_036   0.0865  0.0864             0.1998
server_037   0.1549  0.1562             0.1695
server_038   0.1333  0.1305             0.1426
server_039   0.0428  0.0428             0.1795
              ltage     tage  hashed_perceptron
server_001  98.7305  98.7510            99.2207
server_002  99.1808  99.1843            99.0436
server_003  94.8093  94.8886            94.2515
server_004  96.9166  96.9298            96.6571
server_009  99.0229  99.0064            99.1981
server_010  99.0442  99.0888            99.1651
server_011  98.8039  98.7956            98.9695
server_012  98.9107  98.9560            98.9982
server_013  98.8287  98.8490            99.0620
server_014  99.1490  99.1512            99.0830
server_015  99.1487  99.1501            99.0862
server_016  99.7548  99.7503            99.6847
server_017  99.6835  99.6852            99.6639
server_018  99.6759  99.6796            99.6501
server_019  99.8299  99.8282            99.8080
server_020  99.6446  99.6452            99.6110
server_021  99.8303  99.8287            99.7957
server_022  99.8075  99.8068            99.7826
server_023  99.7468  99.7470            99.6709
server_024  99.7650  99.7700            99.6953
server_025  99.7875  99.7785            99.7380
server_026  99.8102  99.8083            99.7621
server_027  99.8084  99.8101            99.7622
server_028  99.7167  99.7234            99.6548
server_029  99.6994  99.7005            99.6257
server_030  99.8163  99.8175            99.7952
server_031  99.7161  99.7124            99.6614
server_032  99.8401  99.8396            99.8189
server_033  99.9337  99.9331            99.8877
server_034  99.8911  99.8931            99.8476
server_035  99.9432  99.9425            99.8920
server_036  99.9475  99.9476            99.8788
server_037  99.9140  99.9132            99.9059
server_038  99.9259  99.9275            99.9207
server_039  99.9748  99.9748            99.8944
