                ltage       tage  hashed_perceptron
server_001   2.397900   2.239600             1.3117
server_002   1.644400   1.404900             1.6218
server_003  10.030600  10.246300            11.1272
server_004   6.015800   6.271200             6.3922
server_009   1.758500   2.133600             1.4840
server_010   1.840000   2.091300             1.5429
server_011   2.166800   2.756800             1.9133
server_012   2.015800   2.345400             1.8564
server_013   2.118900   2.651000             1.7426
server_014   1.652300   1.487900             1.5603
server_015   1.617400   1.474300             1.5533
server_016   0.787999   0.717599             0.5762
server_017   1.804600   1.645500             0.5561
server_018   2.363000   2.402200             0.5790
server_019   1.385300   1.538200             0.3148
server_020   2.339000   2.251200             0.6469
server_021   2.651000   2.612100             0.3349
server_022   1.537200   1.493500             0.3572
server_023   0.601300   0.528200             0.6020
server_024   0.734300   0.690700             0.5585
server_025   0.931099   0.879099             0.4781
server_026   0.898900   0.792700             0.4351
server_027   0.767600   0.873000             0.4342
server_028   1.199500   1.045800             0.6504
server_029   1.239700   1.285200             0.7037
server_030   0.998000   0.834000             0.3840
server_031   1.457200   1.332900             0.6341
server_032   4.674900   4.644000             0.3360
server_033   1.887800   1.874700             0.2201
server_034   1.578200   1.533300             0.2973
server_035   1.563200   1.534000             0.2104
server_036   1.145800   1.321000             0.1998
server_037   4.536700   4.375200             0.1695
server_038   4.231700   4.562400             0.1426
server_039   0.972000   1.096900             0.1795
              ltage     tage  hashed_perceptron
server_001  98.5753  98.6694            99.2207
server_002  99.0303  99.1715            99.0436
server_003  94.8180  94.7066            94.2515
server_004  96.8539  96.7203            96.6571
server_009  99.0497  98.8470            99.1981
server_010  99.0043  98.8683            99.1651
server_011  98.8330  98.5152            98.9695
server_012  98.9122  98.7343            98.9982
server_013  98.8594  98.5730            99.0620
server_014  99.0290  99.1256            99.0830
server_015  99.0485  99.1326            99.0862
server_016  99.5688  99.6073            99.6847
server_017  98.9092  99.0053            99.6639
server_018  98.5721  98.5484            99.6501
server_019  99.1550  99.0618            99.8080
server_020  98.5934  98.6462            99.6110
server_021  98.3825  98.4062            99.7957
server_022  99.0644  99.0910            99.7826
server_023  99.6713  99.7112            99.6709
server_024  99.5994  99.6232            99.6953
server_025  99.4897  99.5182            99.7380
server_026  99.5085  99.5665            99.7621
server_027  99.5796  99.5219            99.7622
server_028  99.3634  99.4450            99.6548
server_029  99.3407  99.3165            99.6257
server_030  99.4676  99.5551            99.7952
server_031  99.2219  99.2882            99.6614
server_032  97.4799  97.4965            99.8189
server_033  99.0368  99.0435            99.8877
server_034  99.1911  99.2141            99.8476
server_035  99.1973  99.2123            99.8920
server_036  99.3049  99.1986            99.8788
server_037  97.4803  97.5700            99.9059
server_038  97.6481  97.4643            99.9207
server_039  99.4283  99.3548            99.8944
