                ltage      tage  hashed_perceptron
server_001   2.397900  2.363300             1.3117
server_002   1.644400  1.514600             1.6218
server_003  10.030600  9.881300            11.1272
server_004   6.015800  5.903100             6.3922
server_009   1.758500  1.650600             1.4840
server_010   1.840000  1.732800             1.5429
server_011   2.166800  2.265800             1.9133
server_012   2.015800  2.014100             1.8564
server_013   2.118900  2.138100             1.7426
server_014   1.652300  1.614900             1.5603
server_015   1.617400  1.590100             1.5533
server_016   0.787999  0.769599             0.5762
server_017   1.804600  1.705200             0.5561
server_018   2.363000  2.464800             0.5790
server_019   1.385300  1.479300             0.3148
server_020   2.339000  2.464000             0.6469
server_021   2.651000  2.648400             0.3349
server_022   1.537200  1.558700             0.3572
server_023   0.601300  0.621900             0.6020
server_024   0.734300  0.763800             0.5585
server_025   0.931099  0.944699             0.4781
server_026   0.898900  0.898500             0.4351
server_027   0.767600  0.830600             0.4342
server_028   1.199500  1.159800             0.6504
server_029   1.239700  1.323300             0.7037
server_030   0.998000  1.118000             0.3840
server_031   1.457200  1.441100             0.6341
server_032   4.674900  4.879500             0.3360
server_033   1.887800  1.933000             0.2201
server_034   1.578200  1.596500             0.2973
server_035   1.563200  1.508400             0.2104
server_036   1.145800  1.321000             0.1998
server_037   4.536700  4.539900             0.1695
server_038   4.231700  4.220000             0.1426
server_039   0.972000  1.102900             0.1795
              ltage     tage  hashed_perceptron
server_001  98.5753  98.5959            99.2207
server_002  99.0303  99.1069            99.0436
server_003  94.8180  94.8951            94.2515
server_004  96.8539  96.9128            96.6571
server_009  99.0497  99.1080            99.1981
server_010  99.0043  99.0623            99.1651
server_011  98.8330  98.7797            98.9695
server_012  98.9122  98.9131            98.9982
server_013  98.8594  98.8491            99.0620
server_014  99.0290  99.0509            99.0830
server_015  99.0485  99.0645            99.0862
server_016  99.5688  99.5789            99.6847
server_017  98.9092  98.9692            99.6639
server_018  98.5721  98.5106            99.6501
server_019  99.1550  99.0977            99.8080
server_020  98.5934  98.5182            99.6110
server_021  98.3825  98.3840            99.7957
server_022  99.0644  99.0513            99.7826
server_023  99.6713  99.6600            99.6709
server_024  99.5994  99.5833            99.6953
server_025  99.4897  99.4823            99.7380
server_026  99.5085  99.5087            99.7621
server_027  99.5796  99.5451            99.7622
server_028  99.3634  99.3845            99.6548
server_029  99.3407  99.2962            99.6257
server_030  99.4676  99.4036            99.7952
server_031  99.2219  99.2305            99.6614
server_032  97.4799  97.3696            99.8189
server_033  99.0368  99.0138            99.8877
server_034  99.1911  99.1817            99.8476
server_035  99.1973  99.2254            99.8920
server_036  99.3049  99.1986            99.8788
server_037  97.4803  97.4786            99.9059
server_038  97.6481  97.6546            99.9207
server_039  99.4283  99.3513            99.8944
