,ltage,tage,hashed_perceptron
server_001,2.0447,2.0355,1.3117
server_002,1.3751,1.3792,1.6218
server_003,9.8141,9.6436,11.1272
server_004,5.8182,5.7241,6.3922
server_009,1.5151,1.4289,1.484
server_010,1.5305,1.5497,1.5429
server_011,1.979,1.9801,1.9133
server_012,1.7923,1.7512,1.8564
server_013,1.9337,1.9439,1.7426
server_014,1.4458,1.4398,1.5603
server_015,1.4516,1.4297,1.5533
server_016,0.4484,0.4452,0.5762
server_017,0.5109,0.5165,0.5561
server_018,0.5256,0.5304,0.579
server_019,0.2866,0.2771,0.3148
server_020,0.5916,0.5804,0.6469
server_021,0.2808,0.2809,0.3349
server_022,0.3167,0.3146,0.3572
server_023,0.4609,0.4658,0.602
server_024,0.4306,0.4266,0.5585
server_025,0.3895,0.3918,0.4781
server_026,0.3448,0.3551,0.4351
server_027,0.345,0.346,0.4342
server_028,0.5296,0.5194,0.6504
server_029,0.5569,0.5647,0.7037
server_030,0.336,0.3344,0.384
server_031,0.5327,0.5318,0.6341
server_032,0.294,0.2958,0.336
server_033,0.129,0.1243,0.2201
server_034,0.2112,0.2096,0.2973
server_035,0.1103,0.1081,0.2104
server_036,0.0878,0.088,0.1998
server_037,0.1581,0.1552,0.1695
server_038,0.1325,0.134,0.1426
server_039,0.0427,0.0428,0.1795
