             ltage    tage  hashed_perceptron
server_001  2.0484  2.0355             1.3117
server_002  1.3731  1.3792             1.6218
server_003  9.7527  9.6436            11.1272
server_004  5.7529  5.7241             6.3922
server_009  1.4814  1.4289             1.4840
server_010  1.5331  1.5497             1.5429
server_011  2.0732  1.9801             1.9133
server_012  1.7253  1.7512             1.8564
server_013  2.0035  1.9439             1.7426
server_014  1.4435  1.4398             1.5603
server_015  1.4573  1.4297             1.5533
server_016  0.4415  0.4452             0.5762
server_017  0.5192  0.5165             0.5561
server_018  0.5297  0.5304             0.5790
server_019  0.2788  0.2771             0.3148
server_020  0.5898  0.5804             0.6469
server_021  0.2739  0.2809             0.3349
server_022  0.3162  0.3146             0.3572
server_023  0.4568  0.4658             0.6020
server_024  0.4424  0.4266             0.5585
server_025  0.3944  0.3918             0.4781
server_026  0.3544  0.3551             0.4351
server_027  0.3463  0.3460             0.4342
server_028  0.5266  0.5194             0.6504
server_029  0.5609  0.5647             0.7037
server_030  0.3375  0.3344             0.3840
server_031  0.5337  0.5318             0.6341
server_032  0.2991  0.2958             0.3360
server_033  0.1297  0.1243             0.2201
server_034  0.2116  0.2096             0.2973
server_035  0.1116  0.1081             0.2104
server_036  0.0880  0.0880             0.1998
server_037  0.1558  0.1552             0.1695
server_038  0.1325  0.1340             0.1426
server_039  0.0425  0.0428             0.1795
              ltage     tage  hashed_perceptron
server_001  98.7830  98.7907            99.2207
server_002  99.1903  99.1867            99.0436
server_003  94.9616  95.0179            94.2515
server_004  96.9914  97.0065            96.6571
server_009  99.1995  99.2278            99.1981
server_010  99.1704  99.1614            99.1651
server_011  98.8834  98.9335            98.9695
server_012  99.0689  99.0549            98.9982
server_013  98.9215  98.9536            99.0620
server_014  99.1517  99.1538            99.0830
server_015  99.1426  99.1589            99.0862
server_016  99.7584  99.7564            99.6847
server_017  99.6862  99.6878            99.6639
server_018  99.6799  99.6795            99.6501
server_019  99.8299  99.8310            99.8080
server_020  99.6453  99.6510            99.6110
server_021  99.8329  99.8286            99.7957
server_022  99.8076  99.8085            99.7826
server_023  99.7503  99.7454            99.6709
server_024  99.7586  99.7673            99.6953
server_025  99.7839  99.7853            99.7380
server_026  99.8062  99.8058            99.7621
server_027  99.8104  99.8105            99.7622
server_028  99.7205  99.7243            99.6548
server_029  99.7017  99.6997            99.6257
server_030  99.8200  99.8216            99.7952
server_031  99.7150  99.7160            99.6614
server_032  99.8388  99.8405            99.8189
server_033  99.9338  99.9366            99.8877
server_034  99.8915  99.8926            99.8476
server_035  99.9427  99.9445            99.8920
server_036  99.9466  99.9466            99.8788
server_037  99.9135  99.9138            99.9059
server_038  99.9264  99.9255            99.9207
server_039  99.9750  99.9748            99.8944
